OrganizationIdentifier,OrganizationFormalName,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentTest,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/18/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.86,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/25/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,3.11,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/1/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.5,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/8/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,2.72,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/15/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.62,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/22/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,1.35,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/29/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,3.67,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/5/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,1.37,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/12/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,2.86,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/19/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,2.28,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/26/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,2.77,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/1/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.26,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/8/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/15/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.35,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/22/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/29/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/5/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.23,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/12/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/19/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/26/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,1.73,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/3/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.32,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/10/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.28,ug/l,,DEQ.NE.GOV
